County,Year,Diabetes,Treatment,Obesity,PoorFairHealth,FoodEnvironIndex,PhysInac,Phys,median_age
New York,2004,5.7,Control,0.1400000156,,,,,
New York,2005,5.8,Control,0.1320000493,,,,,
New York,2006,5.4,Control,0.1470000481,,,,,
New York,2007,5.5,Control,0.1510001005,,,,,
New York,2008,5.5,Control,0.1500000756,,,,,
New York,2009,7.3,Control,0.1670000202,,,,,
New York,2010,7.3,Control,0.1520001035,,,,,
New York,2011,7.8,Control,0.1660001202,0.19,,,,36.6
New York,2012,7.3,Control,0.161000092,0.17,,0.16,,36.7
New York,2013,6.3,Control,0.1560000916,0.16,,0.16,762,36.8
New York,2014,6.8,Control,0.1560000972,0.16,7.9,0.17,755,37
New York,2015,6.4,Control,0.175,0.16,7.6,0.16,728,37.1
New York,2016,6.9,Control,0.1590000158,0.16,7.8,0.18,730,37.3
New York,2017,6.5,Control,0.1450000074,0.15,7.8,0.18,720,37.5
New York,2018,6.6,Control,0.1700001102,0.15,8.3,0.19,730,37.7
New York,2019,6.5,Control,0.1860000059,0.19,8.3,0.18,730,37.8
New York,2020,6.5,Control,0.1730000862,0.16,8.3,0.18,750,38
New York,2021,6.8,Control,0.1870000122,0.16,8.4,0.17,730,39.5
Bronx,2004,8.7,Control,0.2420000303,,,,,
Bronx,2005,8.5,Control,0.2270001673,,,,,
Bronx,2006,9,Control,0.2310001848,,,,,
Bronx,2007,9.4,Control,0.2820002024,,,,,
Bronx,2008,8.8,Control,0.2480001837,,,,,
Bronx,2009,10.3,Control,0.3000001039,,,,,
Bronx,2010,9.9,Control,0.2770002257,,,,,
Bronx,2011,10.3,Control,0.2600001831,0.26,,,,33
Bronx,2012,11.2,Control,0.2530001954,0.25,,0.3,,33.1
Bronx,2013,12,Control,0.3020001534,0.25,,0.3,2121,33.3
Bronx,2014,12.9,Control,0.3150000194,0.24,6.5,0.29,2020,33.4
Bronx,2015,12.6,Control,0.301000204,0.24,6.4,0.29,2080,33.6
Bronx,2016,13.7,Control,0.3,0.29,7,0.29,1930,33.8
Bronx,2017,12.2,Control,0.3100000288,0.28,7.1,0.31,1890,34.2
Bronx,2018,12.8,Control,0.2980000671,0.27,7.9,0.31,1800,34.5
Bronx,2019,12,Control,0.2990001416,0.27,7.8,0.31,1740,34.8
Bronx,2020,11.5,Control,0.2960002663,0.27,7.7,0.31,1770,35.1
Bronx,2021,12.1,Control,0.3250002895,0.29,7.4,0.3,1640,35.7
Brooklyn,2004,7.8,Control,0.229,,,,,
Brooklyn,2005,7.7,Control,0.2290000495,,,,,
Brooklyn,2006,8,Control,0.237000097,,,,,
Brooklyn,2007,8.6,Control,0.2600000438,,,,,
Brooklyn,2008,7.9,Control,0.25,,,,,
Brooklyn,2009,9,Control,0.2250000134,,,,,
Brooklyn,2010,10.1,Control,0.2440000997,,,,,
Brooklyn,2011,10.3,Control,0.2450001146,0.22,,,,34.2
Brooklyn,2012,9.9,Control,0.2420000862,0.21,,0.28,,34.3
Brooklyn,2013,10.5,Control,0.2330000222,0.2,,0.28,1597,34.5
Brooklyn,2014,10.3,Control,0.2280000593,0.18,7.1,0.26,1588,34.7
Brooklyn,2015,9.9,Control,0.2230000975,0.18,6.8,0.25,1637,34.9
Brooklyn,2016,9.7,Control,0.2260000412,0.2,6.8,0.26,1640,35
Brooklyn,2017,9.5,Control,0.2320000986,0.17,6.8,0.26,1600,35.3
Brooklyn,2018,9.4,Control,0.239000039,0.18,7.4,0.27,1670,35.5
Brooklyn,2019,8.8,Control,0.2420000519,0.18,7.4,0.26,1550,35.7
Brooklyn,2020,9.2,Control,0.2390000381,0.18,7.5,0.26,1550,35.8
Brooklyn,2021,9.8,Control,0.2560000805,0.19,8,0.24,1480,36.5
Baltimore,2004,9.6,Control,0.2790004149,,,,,
Baltimore,2005,10.5,Control,0.3100002595,,,,,
Baltimore,2006,10.2,Control,0.3130002832,,,,,
Baltimore,2007,11.2,Control,0.34,,,,,
Baltimore,2008,11.6,Control,0.3050002607,,,,,
Baltimore,2009,11.6,Control,0.3110006205,,,,,
Baltimore,2010,11.1,Control,0.3020004598,,,,,
Baltimore,2011,11.3,Control,0.3030005624,0.18,,,,34.5
Baltimore,2012,12.6,Control,0.2920005011,0.18,,0.31,,34.6
Baltimore,2013,11.4,Control,0.3400001267,0.19,,0.31,985,34.7
Baltimore,2014,11.6,Control,0.3290004766,0.19,6.5,0.3,947,34.8
Baltimore,2015,11.8,Control,0.3210004847,0.19,6.1,0.29,1079,34.9
Baltimore,2016,12.1,Control,0.3270005696,0.19,6,0.29,1050,35.1
Baltimore,2017,11.8,Control,0.3700007709,0.2,5.9,0.27,1080,35.3
Baltimore,2018,12.4,Control,0.3480006682,0.19,6.5,0.26,1060,35.6
Baltimore,2019,11.8,Control,0.3610006319,0.19,6.6,0.25,1030,35.9
