SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,001,Maryland,Allegany County,1,68108,35719,32389,3184,1646,1538,6068,3160,2908,2872,1501,1371,7210,3839,3371,57432,30153,27279,55984,29412,26572,26202,14900,11302,16845,9958,6887,17727,9231,8496,14202,6384,7818,3184,1646,1538,3311,1702,1609,3482,1856,1626,4009,2062,1947,5348,2880,2468,4436,2579,1857,4357,2704,1653,4180,2422,1758,3872,2253,1619,4113,2209,1904,4330,2365,1965,4614,2306,2308,4670,2351,2319,4093,2002,2091,3769,1747,2022,2696,1216,1480,1898,810,1088,1746,609,1137,42.1,40.0,45.4
050,24,001,Maryland,Allegany County,2,67960,35655,32305,3171,1644,1527,6046,3151,2895,2871,1506,1365,7212,3843,3369,57317,30096,27221,55872,29354,26518,26177,14895,11282,16814,9940,6874,17635,9183,8452,14211,6388,7823,3171,1644,1527,3295,1696,1599,3471,1849,1622,4004,2063,1941,5359,2892,2467,4405,2564,1841,4360,2703,1657,4173,2420,1753,3876,2253,1623,4072,2194,1878,4315,2352,1963,4571,2285,2286,4677,2352,2325,4096,2000,2096,3793,1761,2032,2691,1217,1474,1896,801,1095,1735,609,1126,42.1,40.0,45.4
050,24,001,Maryland,Allegany County,3,67687,35524,32163,3196,1652,1544,6010,3114,2896,2847,1500,1347,7253,3876,3377,57065,30003,27062,55634,29258,26376,26337,15019,11318,16932,10007,6925,17271,9004,8267,14178,6371,7807,3196,1652,1544,3281,1678,1603,3424,1800,1624,3993,2074,1919,5412,2938,2474,4345,2545,1800,4421,2700,1721,4184,2448,1736,3982,2314,1668,3870,2115,1755,4291,2311,1980,4404,2215,2189,4706,2363,2343,4102,2003,2099,3865,1801,2064,2680,1195,1485,1888,781,1107,1643,591,1052,41.9,39.9,45.0
050,24,001,Maryland,Allegany County,4,67266,35230,32036,3132,1612,1520,6020,3131,2889,2853,1487,1366,7217,3858,3359,56716,29773,26943,55261,29000,26261,26304,14959,11345,16946,9978,6968,16821,8791,8030,14277,6373,7904,3132,1612,1520,3265,1704,1561,3467,1791,1676,3976,2050,1926,5382,2931,2451,4265,2539,1726,4447,2672,1775,4184,2444,1740,4050,2323,1727,3721,2070,1651,4200,2233,1967,4288,2196,2092,4612,2292,2320,4146,2004,2142,3668,1713,1955,2952,1316,1636,1874,763,1111,1637,577,1060,41.8,39.7,44.7
050,24,001,Maryland,Allegany County,5,67273,35253,32020,3092,1597,1495,6087,3169,2918,2866,1504,1362,7258,3897,3361,56677,29752,26925,55228,28983,26245,26483,15068,11415,17052,10033,7019,16525,8628,7897,14393,6425,7968,3092,1597,1495,3294,1730,1564,3486,1805,1681,4023,2089,1934,5408,2946,2462,4219,2516,1703,4476,2676,1800,4237,2501,1736,4120,2340,1780,3697,2073,1624,4136,2185,1951,4183,2159,2024,4509,2211,2298,4200,2066,2134,3595,1656,1939,3054,1360,1694,1881,778,1103,1663,565,1098,41.7,39.5,44.6
050,24,003,Maryland,Anne Arundel County,1,588270,291306,296964,36097,18385,17712,68819,35191,33628,29537,14883,14654,45513,24073,21440,468507,230263,238244,453817,222847,230970,231405,117659,113746,163840,82518,81322,156033,76562,79471,88431,39694,48737,36097,18385,17712,37656,19082,18574,38648,19924,18724,34044,17426,16618,33521,17715,15806,38675,19861,18814,43368,21499,21869,43367,21815,21552,38430,19343,19087,36820,18241,18579,39665,19441,20224,42704,20832,21872,36844,18048,18796,29317,13865,15452,24005,10998,13007,16290,7433,8857,9729,4126,5603,9090,3272,5818,38.7,37.7,39.7
050,24,003,Maryland,Anne Arundel County,2,589106,291745,297361,36014,18328,17686,68821,35164,33657,29680,14983,14697,45631,24117,21514,469312,230685,238627,454591,223270,231321,231986,117970,114016,164234,82744,81490,155736,76445,79291,88990,39964,49026,36014,18328,17686,37681,19105,18576,38699,19933,18766,34144,17486,16658,33608,17740,15868,38609,19871,18738,43379,21497,21882,43491,21892,21599,38755,19484,19271,36594,18153,18441,39505,19373,20132,42634,20814,21820,37003,18105,18898,29557,13999,15558,24141,11043,13098,16343,7447,8896,9857,4193,5664,9092,3282,5810,38.7,37.7,39.7
050,24,003,Maryland,Anne Arundel County,3,592085,293077,299008,35585,17979,17606,68302,34870,33432,30015,15267,14748,45709,24130,21579,472917,232337,240580,458183,224961,233222,234552,119339,115213,166596,83994,82602,154165,75625,78540,91713,41212,50501,35585,17979,17606,37449,19100,18349,38621,19822,18799,34276,17569,16707,33680,17776,15904,38545,19815,18730,43672,21675,21997,44110,22279,21831,40269,20225,20044,35553,17656,17897,39107,19205,19902,41966,20535,21431,37539,18229,19310,30437,14455,15982,24904,11338,13566,16839,7643,9196,10353,4444,5909,9180,3332,5848,38.9,37.8,39.9
050,24,003,Maryland,Anne Arundel County,4,593347,293767,299580,35567,18035,17532,67698,34497,33201,30604,15774,14830,45097,23754,21343,474434,233063,241371,459478,225461,234017,235300,119804,115496,167461,84398,83063,152338,74785,77553,94582,42524,52058,35567,18035,17532,37265,19059,18206,38295,19560,18735,34682,17951,16731,33157,17455,15702,37697,19385,18312,43827,21772,22055,44575,22380,22195,41362,20861,20501,35176,17490,17686,38408,18912,19496,40721,19952,20769,38033,18431,19602,31029,14735,16294,24604,11181,13423,18612,8382,10230,10978,4780,6198,9359,3446,5913,39.0,38.0,40.1
050,24,003,Maryland,Anne Arundel County,5,594582,294261,300321,35243,17949,17294,67462,34411,33051,30845,15903,14942,45268,23742,21526,476364,233891,242473,461032,225998,235034,235421,119851,115570,166977,84115,82862,150900,74032,76868,97887,44109,53778,35243,17949,17294,37214,19019,18195,37917,19301,18616,35243,18365,16878,33201,17371,15830,36818,18955,17863,43261,21447,21814,44730,22393,22337,42168,21320,20848,35522,17701,17821,37599,18546,19053,39539,19373,20166,38240,18412,19828,31834,15154,16680,24925,11392,13533,19477,8706,10771,11920,5264,6656,9731,3593,6138,39.3,38.3,40.3
