SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,25,001,Massachusetts,Barnstable County,1,228995,110170,118825,8249,4210,4039,17012,8710,8302,8852,4491,4361,15304,8440,6864,199402,95062,104340,194882,92759,102123,63072,32631,30441,41067,20777,20290,66895,31508,35387,71616,32034,39582,8249,4210,4039,8781,4542,4239,10382,5245,5137,10801,5729,5072,11204,6125,5079,10471,5484,4987,10145,5103,5042,10529,5320,5209,9922,4870,5052,11207,5372,5835,14643,6875,7768,19297,9186,10111,21748,10075,11673,21872,10119,11753,19778,9220,10558,13518,6136,7382,8118,3518,4600,8330,3041,5289,54.4,52.4,56.0
050,25,001,Massachusetts,Barnstable County,2,228012,109317,118695,8161,4174,3987,16905,8649,8256,8825,4484,4341,14422,7653,6769,198630,94313,104317,194121,92010,102111,62224,31853,30371,41117,20795,20322,66599,31355,35244,71983,32207,39776,8161,4174,3987,8735,4514,4221,10310,5214,5096,10478,5447,5031,10629,5611,5018,10450,5464,4986,10166,5120,5046,10507,5293,5214,9994,4918,5076,10991,5260,5731,14561,6835,7726,19232,9152,10080,21815,10108,11707,21996,10179,11817,19936,9301,10635,13601,6175,7426,8197,3549,4648,8253,3003,5250,54.7,52.8,56.2
050,25,001,Massachusetts,Barnstable County,3,232315,111796,120519,7978,4061,3917,16667,8504,8163,8756,4442,4314,15386,8419,6967,203392,97064,106328,198914,94789,104125,64765,33459,31306,42737,21672,21065,66670,31414,35256,74121,33284,40837,7978,4061,3917,8683,4463,4220,10098,5115,4983,10723,5665,5058,11305,6122,5183,10791,5656,5135,10672,5371,5301,10716,5380,5336,10558,5265,5293,10381,4978,5403,14428,6747,7681,19205,9104,10101,22656,10585,12071,22496,10396,12100,20953,9793,11160,14049,6405,7644,8542,3717,4825,8081,2973,5108,54.9,52.9,56.5
050,25,001,Massachusetts,Barnstable County,4,232078,111717,120361,7809,3954,3855,16072,8220,7852,8632,4401,4231,15136,8266,6870,203916,97362,106554,199565,95142,104423,64087,33176,30911,42456,21588,20868,65382,30843,34539,76591,34445,42146,7809,3954,3855,8512,4366,4146,9697,4933,4764,10456,5563,4893,11175,6025,5150,10488,5510,4978,10572,5375,5197,10617,5304,5313,10779,5399,5380,10120,4918,5202,13856,6464,7392,18482,8732,9750,22924,10729,12195,23040,10661,12379,20826,9660,11166,15679,7234,8445,8969,3919,5050,8077,2971,5106,55.6,53.6,57.2
050,25,001,Massachusetts,Barnstable County,5,231735,111627,120108,7678,3910,3768,15615,7999,7616,8501,4311,4190,15078,8165,6913,204280,97627,106653,199941,95407,104534,63856,33120,30736,42284,21634,20650,63871,30175,33696,78708,35433,43275,7678,3910,3768,8405,4295,4110,9217,4694,4523,10370,5521,4849,11202,5965,5237,10323,5438,4885,10464,5380,5084,10563,5261,5302,10934,5555,5379,10082,4916,5166,13255,6251,7004,17553,8248,9305,22981,10760,12221,23368,10849,12519,21048,9715,11333,16481,7618,8863,9708,4250,5458,8103,3001,5102,56.1,54.0,57.8
050,25,003,Massachusetts,Berkshire County,1,129039,62959,66080,5267,2689,2578,10746,5416,5330,5673,2832,2841,11513,5730,5783,110339,53527,56812,107353,52022,55331,43800,22075,21725,27959,14179,13780,37140,18139,19001,30741,13974,16767,5267,2689,2578,5715,2872,2843,6376,3210,3166,7775,3879,3896,8066,4017,4049,6987,3581,3406,6929,3506,3423,7270,3660,3610,6773,3432,3341,7173,3510,3663,8681,4296,4385,10547,5186,5361,10739,5147,5592,9659,4605,5054,8339,4031,4308,5437,2464,2973,3418,1510,1908,3888,1364,2524,47.6,46.0,48.9
050,25,003,Massachusetts,Berkshire County,2,128619,62753,65866,5246,2683,2563,10647,5368,5279,5655,2821,2834,11297,5623,5674,110030,53369,56661,107071,51881,55190,43556,21943,21613,27955,14169,13786,36916,18033,18883,30903,14056,16847,5246,2683,2563,5676,2847,2829,6322,3191,3131,7677,3829,3848,7924,3945,3979,6966,3564,3402,6920,3513,3407,7251,3648,3603,6818,3444,3374,7076,3472,3604,8607,4245,4362,10482,5155,5327,10751,5161,5590,9683,4617,5066,8416,4064,4352,5506,2504,3002,3408,1496,1912,3890,1375,2515,47.7,46.1,49.1
050,25,003,Massachusetts,Berkshire County,3,128376,62550,65826,5138,2598,2540,10323,5214,5109,5583,2759,2824,11152,5530,5622,110210,53388,56822,107332,51979,55353,43778,21959,21819,28393,14348,14045,36255,17734,18521,31532,14367,17165,5138,2598,2540,5544,2775,2769,6129,3117,3012,7634,3766,3868,7751,3845,3906,6987,3536,3451,6991,3531,3460,7302,3689,3613,7113,3592,3521,6827,3394,3433,8453,4175,4278,10119,4941,5178,10856,5224,5632,9797,4651,5146,8816,4253,4563,5689,2598,3091,3502,1528,1974,3728,1337,2391,47.7,46.3,49.1
050,25,003,Massachusetts,Berkshire County,4,127547,62162,65385,4997,2534,2463,10085,5100,4985,5505,2729,2776,10922,5420,5502,109832,53192,56640,106960,51799,55161,43506,21840,21666,28365,14344,14021,35315,17281,18034,32358,14754,17604,4997,2534,2463,5408,2700,2708,5963,3053,2910,7565,3723,3842,7576,3773,3803,6743,3413,3330,6983,3526,3457,7345,3778,3567,7294,3627,3667,6669,3336,3333,8149,4035,4114,9696,4687,5009,10801,5223,5578,9978,4710,5268,8709,4172,4537,6315,2929,3386,3734,1626,2108,3622,1317,2305,48.0,46.4,49.5
050,25,003,Massachusetts,Berkshire County,5,126818,61824,64994,4819,2423,2396,9931,5033,4898,5347,2703,2644,10761,5327,5434,109575,53073,56502,106721,51665,55056,43252,21731,21521,28342,14331,14011,34427,16871,17556,33191,15136,18055,4819,2423,2396,5373,2712,2661,5756,2951,2805,7464,3685,3779,7446,3715,3731,6508,3306,3202,6962,3506,3456,7394,3772,3622,7478,3747,3731,6617,3308,3309,7828,3845,3983,9300,4550,4750,10682,5168,5514,10123,4780,5343,8771,4125,4646,6654,3135,3519,4075,1798,2277,3568,1298,2270,48.2,46.6,49.7
