SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,34,001,New Jersey,Atlantic County,1,274536,133691,140845,14468,7385,7083,29980,15381,14599,13969,7196,6773,24278,12236,12042,223061,107321,115740,216119,103729,112390,97969,48870,49099,63224,31222,32002,77783,37369,40414,50834,22902,27932,14468,7385,7083,16172,8326,7846,17310,8839,8471,17451,8964,8487,17294,8684,8610,16876,8475,8401,15845,7849,7996,15371,7588,7783,15132,7310,7822,16924,8028,8896,18818,9053,9765,21369,10374,10995,20672,9914,10758,16746,8006,8740,13564,6385,7179,9250,4078,5172,5833,2512,3321,5441,1921,3520,42.1,40.5,43.7
050,34,001,New Jersey,Atlantic County,2,274190,133537,140653,14416,7373,7043,29839,15322,14517,13963,7183,6780,24249,12234,12015,222924,107257,115667,215972,103659,112313,97953,48885,49068,63234,31240,31994,77424,37185,40239,51065,23000,28065,14416,7373,7043,16071,8268,7803,17261,8826,8435,17426,8948,8478,17293,8697,8596,16869,8466,8403,15865,7865,8000,15412,7612,7800,15088,7297,7791,16705,7926,8779,18747,9009,9738,21283,10319,10964,20689,9931,10758,16907,8079,8828,13641,6403,7238,9310,4106,5204,5833,2514,3319,5374,1898,3476,42.1,40.5,43.7
050,34,001,New Jersey,Atlantic County,3,274956,134019,140937,14264,7415,6849,29441,15186,14255,13913,7106,6807,24298,12259,12039,224304,107900,116404,217338,104312,113026,98785,49312,49473,64052,31698,32354,76284,36528,39756,52704,23827,28877,14264,7415,6849,15820,8135,7685,17099,8802,8297,17318,8852,8466,17415,8762,8653,17039,8530,8509,16158,8047,8111,15668,7741,7927,15187,7380,7807,15841,7527,8314,18693,8936,9757,20774,9968,10806,20976,10097,10879,17649,8437,9212,14227,6680,7547,9552,4250,5302,5968,2570,3398,5308,1890,3418,42.2,40.5,43.8
050,34,001,New Jersey,Atlantic County,4,275382,134158,141224,14237,7343,6894,29009,15005,14004,14037,7165,6872,24096,12156,11940,225111,108246,116865,218099,104645,113454,99164,49500,49664,64561,31983,32578,74817,35755,39062,54625,24751,29874,14237,7343,6894,15556,8031,7525,16983,8778,8205,17277,8801,8476,17326,8716,8610,16853,8468,8385,16565,8277,8288,15729,7752,7977,15414,7486,7928,15326,7395,7931,18393,8665,9728,20145,9618,10527,20953,10077,10876,18380,8799,9581,14246,6665,7581,10439,4719,5720,6216,2626,3590,5344,1942,3402,42.3,40.6,43.9
050,34,001,New Jersey,Atlantic County,5,275213,133960,141253,14049,7190,6859,28574,14779,13795,13967,7135,6832,24158,12193,11965,225635,108415,117220,218623,104856,113767,99283,49543,49740,64574,31974,32600,73320,35009,38311,56571,25680,30891,14049,7190,6859,15238,7848,7390,16752,8690,8062,17352,8838,8514,17357,8731,8626,16430,8247,8183,16766,8367,8399,15782,7814,7968,15596,7546,8050,15070,7295,7775,17867,8403,9464,19496,9291,10205,20887,10020,10867,19043,9070,9973,14555,6827,7728,10826,4933,5893,6636,2796,3840,5511,2054,3457,42.5,40.8,44.1
050,34,003,New Jersey,Bergen County,1,955743,468050,487693,49431,25264,24167,103645,53010,50635,50574,25888,24686,75269,38186,37083,777797,377072,400725,752093,363888,388205,349991,175410,174581,236416,117605,118811,274054,134564,139490,166354,73533,92821,49431,25264,24167,54818,28003,26815,61095,31276,29819,59498,30586,28912,54077,27219,26858,52532,26493,26039,55878,28042,27836,63552,31475,32077,64454,31595,32859,66275,32844,33431,69875,34198,35677,72340,35659,36681,65564,31863,33701,52140,24886,27254,42154,19612,22542,29105,12672,16433,20343,8429,11914,22612,7934,14678,42.1,40.9,43.2
050,34,003,New Jersey,Bergen County,2,953690,467101,486589,49109,25172,23937,103337,52854,50483,50579,25877,24702,75286,38175,37111,776365,376364,400001,750665,363198,387467,349852,175367,174485,236318,117623,118695,273187,134097,139090,165874,73303,92571,49109,25172,23937,54748,27976,26772,60920,31186,29734,59452,30529,28923,54082,27215,26867,52588,26550,26038,55676,27924,27752,63477,31480,31997,64577,31669,32908,65866,32644,33222,69662,34102,35560,72105,35511,36594,65554,31840,33714,52486,25049,27437,42209,19577,22632,29089,12661,16428,20173,8336,11837,21917,7680,14237,42.0,40.8,43.2
050,34,003,New Jersey,Bergen County,3,955383,468185,487198,48317,24768,23549,102128,52159,49969,50351,25720,24631,75799,38562,37237,780018,378501,401517,754587,365538,389049,352162,176783,175379,238590,118944,119646,270134,132751,137383,170064,75281,94783,48317,24768,23549,54567,27853,26714,60139,30749,29390,59079,30293,28786,54493,27546,26947,53641,27126,26515,56125,28192,27933,63399,31497,31902,65425,32129,33296,64140,31733,32407,69114,34011,35103,70931,34877,36054,65949,32130,33819,54008,25805,28203,43474,20046,23428,29898,13157,16741,20625,8496,12129,22059,7777,14282,42.1,40.9,43.3
050,34,003,New Jersey,Bergen County,4,953540,467348,486192,48207,24676,23531,100528,51305,49223,50102,25636,24466,75170,38225,36945,779640,378473,401167,754703,365731,388972,350794,176157,174637,238050,118708,119342,267407,131390,136017,174076,77408,96668,48207,24676,23531,54304,27716,26588,58752,30001,28751,59020,30316,28704,53724,27133,26591,53511,27017,26494,55689,27996,27693,62632,31077,31555,66218,32618,33600,63772,31366,32406,68163,33743,34420,69386,34000,35386,66086,32281,33805,55285,26465,28820,42809,19751,23058,32537,14456,18081,21245,8800,12445,22200,7936,14264,42.3,41.2,43.4
050,34,003,New Jersey,Bergen County,5,957736,469559,488177,48381,24761,23620,100214,51156,49058,49739,25439,24300,75406,38359,37047,784440,381058,403382,759402,368203,391199,352477,177034,175443,239350,119327,120023,265624,130644,134980,179022,79873,99149,48381,24761,23620,54473,27835,26638,57759,29412,28347,59102,30307,28795,54025,27400,26625,53612,26942,26670,56268,28259,28009,62622,31053,31569,66848,33073,33775,64075,31453,32622,67021,33220,33801,67987,33275,34712,66541,32696,33845,56672,27089,29583,43403,20131,23272,33997,15174,18823,22343,9290,13053,22607,8189,14418,42.4,41.3,43.5
