SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,42,001,Pennsylvania,Adams County,1,103838,51565,52273,4991,2531,2460,10719,5503,5216,5218,2674,2544,9342,4722,4620,85564,42203,43361,82910,40857,42053,35872,18229,17643,22566,11486,11080,29582,14705,14877,21420,9944,11476,4991,2531,2460,5653,2919,2734,6320,3237,3083,6852,3477,3375,6454,3266,3188,5608,2850,2758,5740,2897,2843,5748,2934,2814,5470,2805,2665,6226,3118,3108,7294,3609,3685,8180,4089,4091,7882,3889,3993,7151,3477,3674,5764,2724,3040,3857,1812,2045,2364,1052,1312,2284,879,1405,44.2,43.0,45.4
050,42,001,Pennsylvania,Adams County,2,103798,51555,52243,4939,2506,2433,10679,5488,5191,5222,2683,2539,9333,4718,4615,85613,42231,43382,82958,40878,42080,35878,18243,17635,22592,11501,11091,29483,14650,14833,21550,10009,11541,4939,2506,2433,5649,2917,2732,6299,3230,3069,6829,3472,3357,6457,3270,3187,5581,2839,2742,5774,2916,2858,5748,2934,2814,5489,2812,2677,6139,3067,3072,7269,3604,3665,8176,4078,4098,7899,3901,3998,7199,3503,3696,5818,2748,3070,3881,1816,2065,2384,1068,1316,2268,874,1394,44.2,43.0,45.5
050,42,001,Pennsylvania,Adams County,3,105686,52401,53285,4900,2486,2414,10588,5431,5157,5255,2694,2561,10737,5411,5326,87583,43141,44442,84943,41790,43153,37569,19055,18514,22913,11628,11285,29125,14464,14661,22168,10287,11881,4900,2486,2414,5672,2894,2778,6252,3215,3037,7414,3771,3643,7242,3656,3586,5557,2827,2730,5943,2996,2947,5783,2928,2855,5630,2877,2753,5798,2872,2926,7215,3608,3607,8034,3986,4048,8078,3998,4080,7337,3575,3762,6184,2917,3267,3931,1816,2115,2490,1115,1375,2226,864,1362,43.6,42.5,44.8
050,42,001,Pennsylvania,Adams County,4,105959,52631,53328,4895,2518,2377,10416,5342,5074,5233,2668,2565,10547,5374,5173,87998,43447,44551,85415,42103,43312,37635,19181,18454,23181,11799,11382,28758,14300,14458,22929,10630,12299,4895,2518,2377,5695,2884,2811,6047,3118,2929,7389,3772,3617,7065,3610,3455,5538,2820,2718,6068,3067,3001,5841,2985,2856,5734,2927,2807,5643,2809,2834,7121,3568,3553,7887,3917,3970,8107,4006,4101,7499,3653,3846,6198,2940,3258,4372,1989,2383,2659,1199,1460,2201,849,1352,43.8,42.6,45.2
050,42,001,Pennsylvania,Adams County,5,106748,53041,53707,4926,2556,2370,10337,5291,5046,5224,2665,2559,10621,5426,5195,88887,43880,45007,86261,42529,43732,37978,19368,18610,23389,11929,11460,28347,14117,14230,23904,11057,12847,4926,2556,2370,5627,2834,2793,5966,3109,2857,7448,3774,3674,7141,3665,3476,5477,2796,2681,6124,3111,3013,5935,3023,2912,5853,2999,2854,5555,2807,2748,6885,3462,3423,7745,3841,3904,8162,4007,4155,7723,3733,3990,6461,3095,3366,4633,2087,2546,2860,1284,1576,2227,858,1369,44.0,42.6,45.4
050,42,003,Pennsylvania,Allegheny County,1,1250536,609702,640834,65483,33530,31953,118024,60431,57593,53548,27361,26187,106299,52830,53469,1040451,502123,538328,1013481,488380,525101,493599,249565,244034,347060,176192,170868,320829,156123,164706,239293,103235,136058,65483,33530,31953,64476,32939,31537,66856,34310,32546,72092,36479,35613,74447,36894,37553,91748,46309,45439,98665,50188,48477,85401,43785,41616,71246,35910,35336,69278,34604,34674,75265,36796,38469,85345,41131,44214,90941,43592,47349,79487,37591,41896,60347,27425,32922,39756,16888,22868,27611,10944,16667,32092,10387,21705,40.4,38.8,42.1
050,42,003,Pennsylvania,Allegheny County,2,1249565,609458,640107,65129,33352,31777,117844,60343,57501,53548,27383,26165,106208,52769,53439,1039984,502117,537867,1013044,488380,524664,493952,249744,244208,347531,176439,171092,319073,155342,163731,240232,103830,136402,65129,33352,31777,64483,32954,31529,66696,34236,32460,71989,36412,35577,74432,36893,37539,91226,46079,45147,98458,50014,48444,85988,44090,41898,71859,36256,35603,68648,34312,34336,75022,36744,38278,84683,40795,43888,90720,43491,47229,79882,37813,42069,61141,27802,33339,39731,16925,22806,27583,10941,16642,31895,10349,21546,40.4,38.9,42.1
050,42,003,Pennsylvania,Allegheny County,3,1245220,607342,637878,63130,32388,30742,116509,59585,56924,53295,27337,25958,109722,54278,55444,1038961,501648,537313,1012286,488032,524254,497643,251448,246195,348000,176741,171259,310186,151011,159175,244378,106002,138376,63130,32388,30742,64201,32804,31397,65682,33689,31993,74251,37474,36777,75392,37233,38159,88699,44872,43827,97267,49249,48018,87790,45015,42775,74244,37605,36639,65662,32764,32898,74105,36498,37607,80852,38904,41948,89567,42845,46722,81000,38354,42646,64831,29496,35335,40012,17189,22823,27738,10945,16793,30797,10018,20779,40.4,38.9,42.0
050,42,003,Pennsylvania,Allegheny County,4,1232605,601226,631379,61606,31701,29905,114559,58532,56027,53073,27342,25731,107861,53454,54407,1029780,497225,532555,1003367,483651,519716,493374,249385,243989,345862,175507,170355,300845,146494,154351,248799,108196,140603,61606,31701,29905,63644,32454,31190,64337,32996,31341,73357,37204,36153,74155,36674,37481,85793,43329,42464,95271,48134,47137,88901,45603,43298,75897,38441,37456,64651,32241,32410,72201,35787,36414,77178,37137,40041,86815,41329,45486,81790,38681,43109,65159,29688,35471,43685,19032,24653,28433,11171,17262,29732,9624,20108,40.6,39.1,42.1
050,42,003,Pennsylvania,Allegheny County,5,1224825,597537,627288,60149,31084,29065,113177,57951,55226,52832,27157,25675,106909,53069,53840,1025152,494992,530160,998667,481345,517322,490662,247846,242816,343902,174257,169645,292909,142809,150100,254947,111210,143737,60149,31084,29065,62998,32174,30824,63160,32414,30746,73319,37258,36061,73441,36331,37110,83838,42109,41729,92451,46809,45642,89914,45893,44021,77699,39446,38253,65125,32478,32647,70102,34888,35214,74046,35719,38327,83636,39724,43912,82589,39017,43572,67129,30737,36392,45836,20053,25783,29853,11837,18016,29540,9566,19974,40.8,39.4,42.3
050,42,005,Pennsylvania,Armstrong County,1,65560,32860,32700,3014,1526,1488,6560,3357,3203,3028,1554,1474,4323,2248,2075,54499,27197,27302,52958,26423,26535,20882,10692,10190,14278,7276,7002,19596,10029,9567,14761,6870,7891,3014,1526,1488,3457,1790,1667,3850,1953,1897,3395,1743,1652,3209,1673,1536,3500,1812,1688,3400,1748,1652,3647,1838,1809,3731,1878,1853,4126,2108,2018,4582,2330,2252,5262,2676,2586,5626,2915,2711,4703,2380,2323,3910,1918,1992,2583,1194,1389,1824,776,1048,1741,602,1139,47.0,46.2,47.9
050,42,005,Pennsylvania,Armstrong County,2,65470,32810,32660,2994,1509,1485,6527,3343,3184,3038,1563,1475,4326,2247,2079,54446,27176,27270,52911,26395,26516,20867,10683,10184,14262,7262,7000,19482,9967,9515,14841,6919,7922,2994,1509,1485,3437,1780,1657,3849,1952,1897,3393,1749,1644,3212,1672,1540,3486,1798,1688,3406,1752,1654,3654,1845,1809,3716,1867,1849,4088,2083,2005,4566,2323,2243,5218,2657,2561,5610,2904,2706,4742,2402,2340,3956,1942,2014,2589,1197,1392,1826,783,1043,1728,595,1133,47.0,46.2,47.9
050,42,005,Pennsylvania,Armstrong County,3,65212,32693,32519,2921,1445,1476,6409,3278,3131,3091,1605,1486,4332,2263,2069,54315,27158,27157,52791,26365,26426,20897,10746,10151,14259,7282,6977,19042,9720,9322,15158,7100,8058,2921,1445,1476,3371,1738,1633,3823,1944,1879,3439,1785,1654,3199,1679,1520,3482,1796,1686,3416,1765,1651,3663,1856,1807,3698,1865,1833,3907,1990,1917,4530,2314,2216,5009,2540,2469,5596,2876,2720,4838,2457,2381,4151,2030,2121,2624,1226,1398,1821,779,1042,1724,608,1116,47.1,46.3,48.0
050,42,005,Pennsylvania,Armstrong County,4,64704,32478,32226,2859,1430,1429,6281,3229,3052,3133,1611,1522,4230,2209,2021,53983,27014,26969,52431,26208,26223,20844,10723,10121,14273,7301,6972,18458,9425,9033,15470,7273,8197,2859,1430,1429,3319,1713,1606,3754,1914,1840,3484,1826,1658,3087,1596,1491,3519,1824,1695,3454,1787,1667,3623,1845,1778,3677,1845,1832,3803,1946,1857,4417,2273,2144,4776,2422,2354,5462,2784,2678,4966,2540,2426,4095,2012,2083,2834,1323,1511,1841,787,1054,1734,611,1123,47.1,46.2,48.0
050,42,005,Pennsylvania,Armstrong County,5,64074,32166,31908,2793,1417,1376,6144,3153,2991,3116,1601,1515,4186,2176,2010,53579,26805,26774,52021,25995,26026,20670,10606,10064,14132,7219,6913,17907,9137,8770,15796,7463,8333,2793,1417,1376,3242,1658,1584,3666,1885,1781,3474,1816,1658,3064,1571,1493,3469,1782,1687,3467,1807,1660,3575,1824,1751,3621,1806,1815,3745,1924,1821,4284,2216,2068,4599,2333,2266,5279,2664,2615,5122,2607,2515,4092,2034,2058,2933,1381,1552,1908,817,1091,1741,624,1117,47.3,46.3,48.2
050,42,007,Pennsylvania,Beaver County,1,168229,82387,85842,8429,4350,4079,16788,8591,8197,7865,3975,3890,11689,5998,5691,139102,67443,71659,135147,65471,69676,57119,28988,28131,39531,20022,19509,47488,23316,24172,36439,16135,20304,8429,4350,4079,8988,4570,4418,9766,5028,4738,9203,4700,4503,8385,4266,4119,9768,4945,4823,9904,4987,4917,10375,5312,5063,9484,4778,4706,9606,4768,4838,10999,5453,5546,13262,6462,6800,13621,6633,6988,11804,5691,6113,9403,4436,4967,6230,2731,3499,4455,1775,2680,4547,1502,3045,44.9,43.1,46.7
050,42,007,Pennsylvania,Beaver County,2,167873,82199,85674,8325,4306,4019,16760,8562,8198,7859,3970,3889,11673,5987,5686,138878,67333,71545,134929,65361,69568,57107,28992,28115,39539,20037,19502,47157,23152,24005,36560,16185,20375,8325,4306,4019,8981,4553,4428,9743,5011,4732,9210,4697,4513,8358,4258,4100,9719,4930,4789,9900,4988,4912,10384,5312,5072,9536,4807,4729,9490,4710,4780,10945,5432,5513,13160,6409,6751,13562,6601,6961,11863,5719,6144,9501,4478,5023,6227,2725,3502,4443,1768,2675,4526,1495,3031,44.9,43.1,46.7
050,42,007,Pennsylvania,Beaver County,3,166967,81850,85117,8131,4249,3882,16669,8486,8183,7835,3979,3856,11644,5986,5658,138235,67113,71122,134332,65136,69196,57181,29058,28123,39695,20107,19588,45893,22560,23333,37100,16483,20617,8131,4249,3882,9029,4529,4500,9633,4971,4662,9190,4695,4495,8296,4256,4040,9471,4797,4674,10028,5028,5000,10371,5289,5082,9825,4993,4832,9072,4508,4564,10725,5333,5392,12627,6158,6469,13469,6561,6908,12098,5832,6266,9961,4691,5270,6272,2740,3532,4365,1746,2619,4404,1474,2930,44.7,43.0,46.6
050,42,007,Pennsylvania,Beaver County,4,165737,81321,84416,7875,4110,3765,16390,8297,8093,7906,4053,3853,11561,5976,5585,137466,66853,70613,133566,64861,68705,56994,29057,27937,39552,20072,19480,44774,22047,22727,37679,16766,20913,7875,4110,3765,8981,4505,4476,9434,4836,4598,9174,4709,4465,8268,4276,3992,9158,4678,4480,10146,5092,5054,10195,5161,5034,10053,5141,4912,8999,4498,4501,10345,5145,5200,12033,5893,6140,13397,6511,6886,12221,5880,6341,9931,4670,5261,6898,3033,3865,4337,1768,2569,4292,1415,2877,44.8,43.1,46.6
050,42,007,Pennsylvania,Beaver County,5,165631,81398,84233,7758,4030,3728,16183,8202,7981,7850,4047,3803,11622,5977,5645,137783,67138,70645,133840,65119,68721,57433,29353,28080,39858,20309,19549,43805,21596,22209,38555,17237,21318,7758,4030,3728,8831,4472,4359,9249,4710,4539,9227,4784,4443,8348,4260,4088,9069,4626,4443,10390,5273,5117,10159,5190,4969,10240,5220,5020,9064,4540,4524,10023,4990,5033,11525,5635,5890,13193,6431,6762,12404,5979,6425,10159,4762,5397,7256,3251,4005,4444,1819,2625,4292,1426,2866,44.8,43.1,46.5
050,42,009,Pennsylvania,Bedford County,1,47568,23846,23722,2373,1234,1139,4614,2344,2270,2337,1220,1117,3262,1702,1560,39461,19680,19781,38244,19048,19196,15043,7739,7304,10007,5110,4897,14030,7115,6915,10945,5121,5824,2373,1234,1139,2450,1262,1188,2727,1375,1352,2679,1412,1267,2357,1217,1140,2544,1297,1247,2438,1302,1136,2441,1219,1222,2584,1292,1292,3011,1488,1523,3343,1729,1614,3766,1885,1881,3910,2013,1897,3379,1663,1716,2713,1331,1382,2121,1003,1118,1415,619,796,1317,505,812,47.2,46.2,48.1
050,42,009,Pennsylvania,Bedford County,2,47568,23850,23718,2382,1240,1142,4609,2342,2267,2327,1211,1116,3263,1699,1564,39461,19688,19773,38250,19057,19193,15055,7750,7305,10021,5125,4896,13975,7088,6887,10991,5145,5846,2382,1240,1142,2449,1258,1191,2716,1369,1347,2671,1411,1260,2363,1214,1149,2545,1300,1245,2458,1322,1136,2425,1207,1218,2593,1296,1297,2965,1462,1503,3332,1724,1608,3753,1882,1871,3925,2020,1905,3409,1675,1734,2729,1342,1387,2111,999,1112,1423,625,798,1319,504,815,47.2,46.2,48.1
050,42,009,Pennsylvania,Bedford County,3,47487,23833,23654,2380,1240,1140,4555,2334,2221,2289,1184,1105,3354,1755,1599,39430,19690,19740,38263,19075,19188,15127,7796,7331,10043,5135,4908,13754,6972,6782,11112,5213,5899,2380,1240,1140,2454,1270,1184,2660,1342,1318,2662,1407,1255,2422,1254,1168,2502,1284,1218,2525,1364,1161,2376,1168,1208,2640,1319,1321,2772,1350,1422,3344,1738,1606,3629,1824,1805,4009,2060,1949,3488,1710,1778,2804,1379,1425,2056,973,1083,1462,647,815,1302,504,798,47.2,46.1,48.2
050,42,009,Pennsylvania,Bedford County,4,47421,23805,23616,2395,1220,1175,4590,2351,2239,2233,1147,1086,3304,1746,1558,39328,19673,19655,38203,19087,19116,15069,7791,7278,10078,5176,4902,13471,6816,6655,11350,5349,6001,2395,1220,1175,2504,1305,1199,2632,1324,1308,2583,1361,1222,2408,1254,1154,2458,1263,1195,2622,1416,1206,2394,1202,1192,2604,1295,1309,2677,1310,1367,3315,1691,1624,3489,1764,1725,3990,2051,1939,3557,1768,1789,2799,1368,1431,2175,1034,1141,1505,665,840,1314,514,800,47.1,46.0,48.2
050,42,009,Pennsylvania,Bedford County,5,47350,23721,23629,2391,1206,1185,4607,2364,2243,2237,1120,1117,3251,1713,1538,39262,19608,19654,38115,19031,19084,15014,7750,7264,10070,5183,4887,13147,6624,6523,11647,5511,6136,2391,1206,1185,2528,1316,1212,2623,1314,1309,2539,1319,1220,2405,1248,1157,2415,1252,1163,2664,1413,1251,2413,1232,1181,2578,1286,1292,2646,1304,1342,3267,1644,1623,3374,1715,1659,3860,1961,1899,3620,1801,1819,2925,1441,1484,2176,1026,1150,1563,695,868,1363,548,815,47.1,46.0,48.2
050,42,011,Pennsylvania,Berks County,1,428851,212715,216136,24017,12306,11711,48791,25182,23609,23194,11856,11338,40240,20336,19904,344469,169319,175150,332849,163371,169478,161432,81560,79872,103750,52316,51434,114368,57037,57331,74491,33682,40809,24017,12306,11711,25996,13313,12683,28547,14817,13730,30212,15257,14955,27470,13987,13483,26306,13506,12800,26846,13566,13280,25893,12847,13046,24705,12397,12308,26056,12957,13099,28531,14208,14323,31279,15595,15684,28502,14277,14225,23748,11615,12133,19697,9305,10392,12839,5774,7065,8463,3584,4879,9744,3404,6340,39.8,38.7,40.9
050,42,011,Pennsylvania,Berks County,2,428671,212628,216043,23935,12258,11677,48625,25070,23555,23230,11884,11346,40243,20305,19938,344526,169370,175156,332881,163416,169465,161693,81704,79989,103993,52485,51508,114014,56860,57154,74631,33766,40865,23935,12258,11677,25922,13253,12669,28476,14787,13689,30212,15244,14968,27488,13975,13513,26279,13505,12774,26940,13632,13308,25961,12908,13053,24813,12440,12373,25793,12828,12965,28422,14171,14251,31199,15531,15668,28600,14330,14270,23862,11658,12204,19864,9393,10471,12873,5787,7086,8432,3573,4859,9600,3355,6245,39.8,38.7,40.9
050,42,011,Pennsylvania,Berks County,3,429635,213155,216480,23506,12150,11356,48236,24745,23491,23313,12007,11306,40428,20315,20113,346300,170251,176049,334580,164253,170327,163260,82525,80735,105341,53251,52090,112726,56245,56481,76085,34442,41643,23506,12150,11356,25939,13216,12723,28119,14577,13542,30319,15301,15018,27600,13973,13627,26296,13570,12726,27435,13921,13514,26301,13136,13165,25309,12624,12685,24847,12376,12471,28172,14040,14132,30633,15234,15399,29074,14595,14479,24242,11815,12427,20685,9807,10878,13163,5888,7275,8573,3657,4916,9422,3275,6147,39.9,38.8,41.0
