SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,36,001,New York,Albany County,1,314851,153144,161707,15332,7834,7498,29429,15182,14247,13526,6750,6776,44190,21520,22670,263529,126814,136715,256564,123378,133186,133638,66123,67515,79203,39536,39667,78440,38507,39933,54731,23815,30916,15332,7834,7498,16354,8468,7886,16356,8397,7959,22399,10908,11491,32036,15679,16357,21787,10906,10881,19849,9947,9902,19878,9862,10016,17689,8821,8868,17317,8555,8762,19257,9507,9750,21399,10456,10943,20467,9989,10478,17766,8425,9341,14589,6706,7883,9206,3996,5210,5996,2419,3577,7174,2269,4905,38.3,37.2,39.4
050,36,001,New York,Albany County,2,314018,152789,161229,15281,7802,7479,29396,15169,14227,13455,6731,6724,43840,21339,22501,262805,126503,136302,255886,123087,132799,133296,65981,67315,79265,39588,39677,77997,38263,39734,54784,23897,30887,15281,7802,7479,16348,8469,7879,16312,8377,7935,22163,10794,11369,31868,15599,16269,21714,10875,10839,19874,9941,9933,19877,9896,9981,17800,8876,8924,17141,8443,8698,19171,9484,9687,21279,10384,10895,20406,9952,10454,17795,8448,9347,14742,6785,7957,9216,3997,5219,5995,2424,3571,7036,2243,4793,38.3,37.2,39.5
050,36,001,New York,Albany County,3,316178,153657,162521,14847,7536,7311,29186,14988,14198,13282,6718,6564,45794,22179,23615,265632,127758,137874,258863,124415,134448,136309,67456,68853,80475,40264,40211,76484,37414,39070,56110,24558,31552,14847,7536,7311,16249,8367,7882,16179,8326,7853,23029,11214,11815,32805,15978,16827,21806,10977,10829,20312,10089,10223,20040,10121,9919,18317,9077,9240,16655,8147,8508,18920,9426,9494,20585,9992,10593,20324,9849,10475,18018,8575,9443,15472,7145,8327,9540,4169,5371,6112,2466,3646,6968,2203,4765,38.2,37.1,39.3
050,36,001,New York,Albany County,4,315921,153425,162496,14558,7368,7190,28926,14813,14113,13243,6770,6473,45766,22186,23580,265858,127812,138046,259194,124474,134720,136405,67559,68846,80704,40317,40387,75040,36599,38441,57684,25372,32312,14558,7368,7190,16119,8328,7791,16115,8199,7916,22965,11310,11655,32736,15932,16804,21466,10805,10661,20365,10059,10306,20075,10144,9931,18798,9309,9489,16395,7958,8437,18470,9197,9273,19931,9663,10268,20244,9781,10463,18199,8680,9519,15421,7120,8301,10710,4778,5932,6429,2597,3832,6925,2197,4728,38.4,37.3,39.5
050,36,001,New York,Albany County,5,316659,153778,162881,14403,7287,7116,28899,14843,14056,13234,6782,6452,45725,22110,23615,266816,128312,138504,260123,124866,135257,136988,67873,69115,81258,40585,40673,73864,36053,37811,59276,26118,33158,14403,7287,7116,15929,8232,7697,16199,8215,7984,23032,11450,11582,32698,15838,16860,21260,10611,10649,20620,10279,10341,20143,10148,9995,19235,9547,9688,16693,8201,8492,17905,8875,9030,19326,9366,9960,19940,9611,10329,18431,8762,9669,15511,7177,8334,11446,5145,6301,6934,2843,4091,6954,2191,4763,38.5,37.5,39.6
050,36,003,New York,Allegany County,1,46450,23718,22732,2409,1222,1187,4718,2447,2271,2322,1256,1066,6821,3682,3139,38194,19455,18739,37001,18793,18208,18050,9471,8579,9467,4825,4642,11632,5899,5733,9081,4387,4694,2409,1222,1187,2536,1374,1162,2742,1365,1377,4469,2458,2011,4114,2188,1926,2241,1166,1075,2413,1239,1174,2426,1208,1218,2387,1212,1175,2421,1216,1205,2685,1343,1342,3181,1615,1566,3345,1725,1620,2983,1508,1475,2456,1254,1202,1558,764,794,1036,475,561,1048,386,662,39.7,38.6,41.0
050,36,003,New York,Allegany County,2,47328,24211,23117,2416,1216,1200,4696,2433,2263,2311,1245,1066,7760,4210,3550,39095,19974,19121,37905,19317,18588,18984,9993,8991,9470,4826,4644,11573,5866,5707,9102,4415,4687,2416,1216,1200,2521,1362,1159,2732,1359,1373,4913,2710,2203,4601,2457,2144,2268,1181,1087,2395,1229,1166,2431,1209,1222,2376,1207,1169,2408,1212,1196,2672,1336,1336,3152,1599,1553,3341,1719,1622,2997,1523,1474,2469,1257,1212,1563,773,790,1034,473,561,1039,389,650,38.7,37.5,40.0
050,36,003,New York,Allegany County,3,46938,24000,22938,2370,1201,1169,4639,2393,2246,2267,1185,1082,7575,4150,3425,38833,19845,18988,37662,19221,18441,18764,9884,8880,9465,4826,4639,11344,5745,5599,9278,4500,4778,2370,1201,1169,2504,1340,1164,2678,1330,1348,4815,2642,2173,4484,2416,2068,2255,1181,1074,2320,1180,1140,2483,1244,1239,2407,1221,1186,2308,1169,1139,2659,1334,1325,3031,1537,1494,3346,1705,1641,3047,1548,1499,2563,1289,1274,1605,823,782,1031,460,571,1032,380,652,39.1,37.8,40.4
050,36,003,New York,Allegany County,4,46726,23845,22881,2368,1216,1152,4633,2407,2226,2253,1146,1107,7467,4107,3360,38632,19681,18951,37472,19076,18396,18567,9757,8810,9390,4764,4626,11111,5603,5508,9504,4602,4902,2368,1216,1152,2541,1348,1193,2635,1319,1316,4732,2588,2144,4445,2405,2040,2231,1138,1093,2260,1153,1107,2449,1236,1213,2450,1237,1213,2271,1147,1124,2614,1320,1294,2906,1442,1464,3320,1694,1626,3086,1575,1511,2547,1265,1282,1749,899,850,1051,467,584,1071,396,675,39.4,37.9,40.7
050,36,003,New York,Allegany County,5,46651,23796,22855,2400,1264,1136,4587,2399,2188,2234,1114,1120,7478,4126,3352,38569,19612,18957,37430,19019,18411,18479,9707,8772,9319,4727,4592,10880,5445,5435,9753,4721,5032,2400,1264,1136,2548,1337,1211,2591,1322,1269,4712,2545,2167,4448,2435,2013,2148,1095,1053,2287,1168,1119,2434,1239,1195,2450,1225,1225,2331,1171,1160,2512,1268,1244,2783,1362,1421,3254,1644,1610,3113,1582,1531,2581,1279,1302,1834,948,886,1111,500,611,1114,412,702,39.5,38.0,41.0
050,36,005,New York,Bronx County,1,1472653,696351,776302,102971,52532,50439,184139,93884,90255,78655,40177,38478,139363,69512,69851,1146334,529848,616486,1106888,509758,597130,617069,298480,318589,418608,198825,219783,353222,162747,190475,195695,78674,117021,102971,52532,50439,103191,52504,50687,100505,51414,49091,98254,50333,47921,100207,49322,50885,117689,56554,61135,112757,54422,58335,98267,46542,51725,89895,41307,48588,87148,40396,46752,92725,43216,49509,92596,42479,50117,80753,36656,44097,62772,27964,34808,49090,20677,28413,34823,13624,21199,23861,8832,15029,25149,7577,17572,35.0,33.1,36.9
050,36,005,New York,Bronx County,2,1461151,690534,770617,101719,51886,49833,183176,93388,89788,78312,40013,38299,137978,68775,69203,1137144,525216,611928,1097944,505247,592697,613190,296639,316551,416444,197868,218576,350781,161361,189420,192741,77243,115498,101719,51886,49833,102542,52156,50386,100178,51249,48929,97470,49929,47541,99276,48842,50434,116087,55786,60301,112720,54408,58312,97934,46418,51516,89703,41256,48447,86328,39935,46393,91804,42749,49055,92219,42270,49949,80430,36407,44023,62528,27824,34704,48746,20457,28289,34261,13300,20961,23233,8487,14746,23973,7175,16798,35.0,33.1,36.9
